clip_dir,n_sentences,correlation,p_value
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_11/01,7,-0.5585812268712466,0.19245253188052203
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_16/01,7,-0.4684874806016907,0.288996771597148
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_23/03,7,0.09851380077988758,0.8335681350493354
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_4/01,8,-0.21821789023599236,0.6036450565101363
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_29/01,9,0.3952847075210474,0.2923519924402384
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/02,6,0.6761234037828133,0.1403573866189944
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/03,9,0.1191759143062248,0.760072007268607
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_6/03,8,-0.20483414440254896,0.6265435481779082
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_26/04,7,-0.2000330660496597,0.6671663257059881
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/03,8,-0.3233590907165799,0.4346394485508573
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_15/03,8,0.37126414119311024,0.3652020580197782
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_3/04,8,0.265079480991534,0.5257681332737645
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_2/01,8,0.038310708317909774,0.928237677235886
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_5/01,8,-0.22830583024432846,0.5865691033275254
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_26/03,6,-0.3530939318018998,0.49237015259129446
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_2/02,8,0.14824986333222026,0.726077451079171
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_1/04,4,0.0,1.0
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_15/02,7,0.0,1.0
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_3/02,9,0.5401276624446222,0.13330775647816331
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_20/03,6,0.26482044885142486,0.6120552385657049
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/04,6,0.8406680016960503,0.0360575728451592
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_8/02,6,0.09107651110783746,0.8637629700202579
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_10/01,8,0.32732683535398854,0.4286915072353138
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_4/03,8,0.5904042985720529,0.12334216912361896
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_19/04,8,0.5389318178609664,0.16811803527951477
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/02,7,-0.20583232685540792,0.6579230872109545
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/03,7,0.7484811885651198,0.05293045417204596
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_22/03,6,0.11952286093343938,0.8215694433207941
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_9/02,6,0.0,1.0
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_16/01,8,-0.22893227903814295,0.5855140871254392
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_12/04,6,0.7356123579206245,0.09561078073827967
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_2/04,6,0.6087595874350709,0.19966018946036257
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_2/02,7,0.10811249552346709,0.8175332656241182
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_12/02,6,0.35856858280031817,0.4851979632652574
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_9/02,5,0.5642880936468347,0.32172333582430024
<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_2/02,8,0.4910286161402364,0.21660620777244885
<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_4/01,8,0.34731161595484505,0.3992638742032819
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/01,8,0.47280542884465016,0.23674621695900244
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_23/01,6,-0.6377481392176932,0.17307111024125976
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_2/01,7,0.11013346473215288,0.8141634625636773
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/04,8,-0.012049067317796997,0.9774101852887366
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_11/03,7,0.7783117824941563,0.039281056386619426
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_3/02,5,-0.10259783520851541,0.8695979205185651
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_12/03,7,-0.18018749253911182,0.6990457740939315
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_11/03,6,0.6,0.20799999999999982
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_31/04,7,-0.5323117462054056,0.21870850311072354
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/02,8,0.6343350474165467,0.09116266392027382
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_11/02,8,0.4819626927118799,0.22651055579608537
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_22/03,8,-0.07319250547113999,0.863253392920131
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_3/04,8,-0.4458154907584889,0.26825005020123804
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,7,0.5045249791095131,0.24820311426451094
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_14/04,7,0.31810450514017585,0.4868721417369813
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_5/04,8,0.3437200312981655,0.4044861827554636
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_18/03,7,-0.38188130791298674,0.3979173252739921
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_9/03,6,-0.7944613465542746,0.05902759992532669
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_13/03,7,-0.35856858280031817,0.4296406812488271
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_24/02,8,-0.10012523486435179,0.8135161132801981
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_24/02,7,0.18712029714127995,0.6878667525275877
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_1/03,5,0.15389675281277312,0.8048288166080632
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/04,6,0.40583972495671394,0.42466250756136453
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_6/02,7,0.18712029714127995,0.6878667525275877
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_10/01,7,0.2000330660496597,0.6671663257059881
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_7/03,8,0.5212982933415374,0.18520893016509607
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_11/04,8,0.16060401860990525,0.7040056006283465
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_12/01,7,0.2000330660496597,0.6671663257059881
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_22/02,7,-0.03742405942825599,0.9365114250694435
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_12/03,6,0.7142857142857143,0.1107871720116617
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_4/02,7,-0.3214285714285715,0.4820720382996776
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_5/01,6,0.1449427589131121,0.7841083696021083
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_1/03,6,-0.11595420713048969,0.826848213385815
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_3/02,7,-0.12613124477737828,0.7875721594074739
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_2/01,7,0.702731220902536,0.07823745383207154
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_17/04,8,0.33737388489831593,0.41378527896944156
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/01,5,0.8999999999999998,0.03738607346849874
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_28/04,6,-0.8827348295047495,0.01982041658888203
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_8/01,8,0.20483414440254896,0.6265435481779082
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_5/04,9,0.1603503997882472,0.6802554808932004
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_1/01,7,0.3335621924974956,0.46469707719905995
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_7/04,7,0.9258200997725515,0.002764960301304949
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_24/03,8,0.0727392967453308,0.8640941349883787
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_9/02,8,-0.17078251276599332,0.6859547529411325
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_1/04,8,0.687440062596331,0.059561396500617064
